보고서종류,작성연도,보고서명,광산명,광종,소재지,광업지적,보고서번호
굴진효과조사,1984,"삼광광산(금,은)굴진효과조사보고서",삼광,"금,은",충청남도청양군운곡면,대흥_068,84굴-011
굴진효과조사,1984,"장자금광산(금,은)굴진효과조사보고서",장자금,"금,동,은","경상북도청송군현동면,경상북도청송군현서면,경상북도포항시북구죽장면",,84굴-010
굴진효과조사,1984,부평(은)광산굴진효과조사보고서,부평,은,인천광역시남동구만수동,,84굴-009
굴진효과조사,1984,"세목(금,은)광산굴진효과조사보고서",세목,"금,은",경상북도봉화군춘양면,,84굴-008
굴진효과조사,1984,"은적(금,은)광산굴진효과조사보고서",은적,"금,은",전라남도영암군서호면,,84굴-007
굴진효과조사,1984,"은적(금,은)광산굴진효과조사보고서",은적,"금,은",전라남도영암군서호면,,84굴-006
굴진효과조사,1984,"세원(금,은)광산굴진효과조사보고서",세원,"금,은",경상북도고령군운수면,,84굴-005
굴진효과조사,1984,"학산광산(금,은)굴진효과조사보고서",학산,"금,은",충청북도영동군학산면,,84굴-004
굴진효과조사,1984,"용신광산(금,은)굴진효과조사보고서",용신,"금,은",경상북도성주군선남면,,84굴-003
굴진효과조사,1984,유창석광산(주석)굴진효과조사보고서,유창석,"금,동,연,은,주석,텅스텐",경상북도울진군서면,,84굴-002
굴진효과조사,1984,"설화(금,은)광산굴진효과조사보고서",설화,"금,동,은",충청남도아산시송악면외암리,,84굴-001
시추결과,1983,경북(납석)광산시추결과보고서,경북광산,납석,경상북도경주시강동면,연일_105,83시-018
시추결과,1983,일양(형석)광산시추결과보고서,일양,형석,충청남도금산군진산면,,83시-017
시추결과,1983,유창(석)광산시추결과보고서,유창,주석,경상북도울진군서면,,83시-016
시추결과,1983,충주제일(활석)광산시추결과보고서,충주제일,활석,충청북도충주시직동,충주_004,83시-015
시추결과,1983,진도(납석)광산시추결과보고서,진도,납석,전라남도진도군군내면,,83시-014
시추결과,1983,옥출(납석)광산시추결과보고서,옥출,"고령토,납석,명반석",전라남도진도군조도면,지산_111,83시-013
시추결과,1983,숭진(납석)광산시추결과보고서,숭진,납석,경상남도밀양시,,83시-012
시추결과,1983,동양(활석)광산시추결과보고서,동양활석,활석,"충청북도충주시살미면,충청북도충주시직동",,83시-011
시추결과,1983,노화(납석)광산시추결과보고서,노화,납석,전라남도완도군노화읍,노화도_098,83시-010
시추결과,1983,구시(납석)광산시추결과보고서,구시,납석,전라남도해남군현산면,,83시-009
시추결과,1983,광명(납석)광산시추결과보고서,광명,납석,전라남도완도군노화읍,노화도_088,83시-008
시추결과,1983,가리산(형석)광산시추결과보고서,가리산,"운모,형석",경기도포천시이동면,,83시-007
시추결과,1983,홍성(활석)광산시추결과보고서,홍성,활석,강원도홍천군서석면,,83시-006
시추결과,1983,삼흥(활석)광산시추결과보고서,삼흥,활석,충청남도예산군대술면,,83시-005
시추결과,1983,삼거(형석)광산시추결과보고서,삼거,형석,경상북도안동시임하면임하리,천지_093,83시-004
시추결과,1983,대동(활석)광산시추결과보고서,대동,활석,충청남도청양군청양읍,,83시-003
시추결과,1983,장산(납석)광산시추결과보고서,장산,납석,,,83시-002
시추결과,1983,성산(납석)광산시추결과보고서,성산,납석,전라남도해남군황산면,,83시-001
기술조사,1983,창호(석회석)광산기술조사보고서,창호,석회석,강원도삼척시미로면,삼척_095,83의-031
기술조사,1983,"정전(활석,사문석)광산기술조사보고서",정전,"사문석,활석",충청남도보령시청소면,대천_084,83의-030
기술조사,1983,동아(석회석)광산기술조사보고서,동아,석회석,강원도강릉시옥계면,"석병산_026,석병산_027,석병산_036,석병산_037",83의-029
기술조사,1983,"면천(고령토,납석)광산기술조사보고서",면천,"고령토,납석",충청남도당진시면천면성하리,해미_052,83의-028
기술조사,1983,대화(석회석)광산기술조사보고서,대화,석회석,강원도평창군대화면,"평창_003,평창_013",83의-027
기술조사,1983,"이화(납석,고령토)광산기술조사보고서",이화,"고령토,납석","전라남도보성군득량면,전라남도보성군회천면",,83의-026
기술조사,1983,임동(석회석)광산기술조사보고서,임동,석회석,경상북도안동시임하면,"중평동_029,중평동_030",83의-025
기술조사,1983,함창(규석)광산기술조사보고서,함창,규석,경상북도상주시이안면안용리,,83의-024
기술조사,1983,삼성(석회석)광산기술조사보고서,삼성,석회석,충청북도청원군가덕면,,83의-023
기술조사,1983,대현(납석)광산기술조사보고서,대현,납석,경상북도봉화군석포면대현리,,83의-022
기술조사,1983,동해(장석)광산기술조사보고서,동해,"고령토,장석",강원도삼척시원덕읍임원리,"임원진_115,임원진_116",83의-021
기술조사,1983,화촌(규석)광산기술조사보고서,화촌,규석,강원도홍천군화촌면주음치리,홍천_004,83의-020
기술조사,1983,온양(장석)광산기술조사보고서,온양,"규석,장석",충청남도아산시탕정면,천안_111,83의-019
기술조사,1983,학림(석회석)광산기술조사보고서,학림,석회석,전라북도장수군번암면,"함양_105,함양_106,함양_115,함양_116",83의-018
기술조사,1983,대동(고령토)광산기술조사보고서,대동,고령토,"경상북도상주시화동면,경상북도상주시화서면",청산_015,83의-017
기술조사,1983,신창(규석)광산기술조사보고서,신창,규석,전라남도화순군화순읍감도리,광주_019,83의-016
기술조사,1983,광명(석회석)광산기술조사보고서,광명,석회석,경상북도영덕군지품면,"영양_020,청송_001",83의-015
